area_ping,floor,has_elevator,building_age,condition,difficulty_multiplier,cost_demolition,cost_plumbing,cost_electrical,cost_carpentry,cost_flooring,cost_painting,cost_bathroom,cost_kitchen,trade_subtotal,supervision_fee,grand_total,monthly_rent,net_yield,payback_months
41.4,10,False,25,aging,1.4,30427,63867,128364,163269,169797,167332,119746,106327,949129,94913,1044042,40400,0.397,30.2
42.6,13,True,23,aging,1.05,32960,45692,101262,162544,147762,102464,103596,94162,790442,79044,869487,36600,0.4319,27.8
18.1,14,True,29,aging,1.05,11762,18865,43443,59856,56396,47584,44253,53086,335245,33524,368769,14300,0.3979,30.2
47.2,15,True,33,aging,1.15,33421,97690,98054,187186,147982,162233,129472,125354,981392,98139,1079531,42700,0.4058,29.6
13.7,5,False,25,poor,1.2,13010,24025,49557,58899,57860,54693,34085,36101,328230,32823,361053,11900,0.3382,35.5
30.6,8,False,37,normal,1.35,25047,60866,81508,102258,113167,90605,97846,95036,666332,66633,732965,29700,0.4157,28.9
17.8,7,True,9,normal,1.0,12784,22778,47399,57124,53052,49797,34998,36755,314686,31469,346155,20000,0.5928,20.2
26.0,8,True,22,normal,1.0,18667,38244,59160,91559,111592,63786,48828,53659,485495,48549,534044,25500,0.4899,24.5
30.7,4,False,34,normal,1.15,24824,46727,73916,99616,103280,118614,69723,63561,600262,60026,660288,27600,0.4289,28.0
46.9,12,True,43,severe,1.25,40686,80154,137975,173339,142905,176149,117871,129589,998668,99867,1098534,39300,0.3671,32.7
35.4,1,False,5,poor,1.1,22689,54044,101849,147521,191488,110039,73671,107355,808655,80865,889520,31900,0.3679,32.6
36.8,10,False,19,aging,1.4,37698,61741,108605,155687,121682,168121,114506,89184,857224,85722,942947,38100,0.4146,28.9
18.2,11,False,11,severe,1.5,17509,33261,63269,85212,70734,71373,61889,63765,467012,46701,513714,13700,0.2736,43.9
31.0,13,True,30,normal,1.0,22773,38515,62265,124531,72927,109449,73809,59052,563320,56332,619652,27500,0.4553,26.4
27.6,2,True,44,aging,1.15,20732,36667,67556,111969,99549,93352,64248,59648,553722,55372,609094,31000,0.5222,23.0
23.3,12,True,24,aging,1.05,16860,31589,46598,60698,61799,68694,58927,55125,400291,40029,440320,20500,0.4777,25.1
33.4,5,False,8,severe,1.25,23373,40002,99598,122804,160975,114256,90059,87179,738246,73825,812070,32300,0.4081,29.4
29.5,13,True,40,normal,1.1,23911,33987,70174,94638,118341,89971,74941,65485,571447,57145,628591,34700,0.5664,21.2
45.8,3,True,33,normal,1.1,28868,66553,105848,134073,178098,125946,103122,98758,841266,84127,925393,40500,0.449,26.7
45.8,10,True,23,normal,1.0,24192,44089,96605,126124,191136,153137,100836,100694,836814,83681,920495,45500,0.5072,23.7
24.9,1,True,52,normal,1.1,17778,31563,53899,85996,96469,84549,54782,59703,484740,48474,533214,20800,0.4002,30.0
40.9,1,True,43,severe,1.25,34317,68478,162438,171199,224351,164093,128906,145703,1099486,109949,1209435,42500,0.3605,33.3
27.2,8,True,30,severe,1.15,17602,36257,91832,94408,107172,92544,70135,64790,574740,57474,632214,25300,0.4106,29.2
45.9,12,False,41,aging,1.5,60541,87009,157355,224888,261399,155652,153340,135035,1235219,123522,1358741,34700,0.262,45.8
35.8,1,False,19,normal,1.0,24196,42772,85752,110797,122523,122588,87453,76217,672299,67230,739528,33500,0.4648,25.8
16.4,2,False,23,normal,1.0,13702,21438,35953,53407,59879,60853,31859,44916,322008,32201,354208,13500,0.391,30.7
17.5,9,True,48,normal,1.1,11890,24398,39976,77024,69298,37674,48981,45877,355117,35512,390629,16800,0.4413,27.2
49.1,15,True,48,normal,1.1,28744,93107,96055,165094,162158,138736,133842,139220,956957,95696,1052653,51600,0.5029,23.9
19.9,2,True,24,normal,1.0,12095,24972,30912,75819,70262,53763,38731,50906,357462,35746,393208,19600,0.5114,23.5
27.5,7,True,25,severe,1.15,20585,31347,75132,95868,94266,108384,63859,55273,544715,54471,599186,26700,0.4572,26.2
24.6,14,True,48,aging,1.15,15321,33467,58753,69215,88098,94484,62567,58576,480481,48048,528529,19700,0.3824,31.4
19.2,8,True,20,severe,1.15,17352,36025,52406,78838,71074,58785,46472,52058,413011,41301,454312,16900,0.3817,31.4
44.0,6,True,52,poor,1.2,44113,47487,124369,193077,254058,141298,130201,130470,1065072,106507,1171579,48800,0.4274,28.1
15.4,8,True,14,severe,1.15,12612,22920,41246,52956,55964,47455,41625,40424,315202,31520,346723,18000,0.5326,22.5
25.2,7,True,37,severe,1.25,20122,27603,72902,94202,114207,79894,58904,55955,523789,52379,576168,20400,0.3633,33.0
21.1,6,True,21,aging,1.05,16158,29094,44121,56309,82502,54782,54518,48660,386144,38614,424758,20300,0.4903,24.5
35.0,10,True,51,aging,1.15,24434,43860,103433,106965,151397,116580,95993,85852,728514,72851,801366,24600,0.315,38.1
19.2,3,False,13,aging,1.05,12369,25308,45422,61959,65544,54534,46865,39164,351166,35117,386283,20500,0.5445,22.0
23.6,2,False,35,normal,1.1,19025,28465,61736,85564,83533,68419,63006,54512,464259,46426,510685,19200,0.3857,31.1
23.5,4,False,43,aging,1.2,15131,35388,61489,74778,108440,67931,69791,55134,488081,48808,536889,20400,0.3898,30.8
47.0,13,True,20,normal,1.0,37745,57888,107923,158891,177812,124503,106084,118280,889127,88913,978039,52700,0.5528,21.7
17.1,5,False,39,aging,1.25,11479,25874,45116,65859,49598,61162,37288,39233,335608,33561,369169,16800,0.4669,25.7
36.4,5,False,24,normal,1.1,26950,42978,93664,154199,169228,119312,97544,81842,785718,78572,864290,27700,0.3288,36.5
20.7,2,False,42,normal,1.1,15145,30053,56983,79758,80441,55289,62972,43587,424227,42423,466650,18000,0.3958,30.3
42.8,4,True,40,aging,1.15,23086,54574,115613,146717,171628,93826,106603,83024,795071,79507,874578,40900,0.4798,25.0
29.6,9,True,52,normal,1.1,20631,35058,70878,106418,119667,95608,77855,74596,600711,60071,660782,30900,0.4798,25.0
26.2,5,True,36,normal,1.1,20808,36201,64873,115837,109226,85287,70302,86157,588689,58869,647558,25200,0.3993,30.1
15.4,9,False,25,aging,1.35,11162,22536,51236,61775,83591,47412,54531,41385,373628,37363,410991,12200,0.3046,39.4
49.7,8,True,20,aging,1.05,35167,54641,106262,152323,197514,136859,132357,107074,922197,92220,1014416,38500,0.3894,30.8
13.3,11,False,43,aging,1.5,12473,26172,45138,56097,85340,63288,45487,47932,381927,38193,420119,10700,0.2613,45.9
34.7,3,True,45,aging,1.15,24707,52087,86097,157770,117020,102410,88463,71921,700476,70048,770523,34500,0.4594,26.1
32.4,8,True,18,normal,1.0,19944,36353,78866,116656,150334,89403,65069,84045,640670,64067,704737,30600,0.4455,26.9
24.9,11,True,39,normal,1.1,17842,31145,55420,82825,84652,70658,59029,54463,456033,45603,501637,25900,0.5297,22.7
49.5,5,True,13,aging,1.05,36588,67014,114492,196066,143936,94800,123900,116199,892995,89299,982294,46300,0.4836,24.8
25.9,6,True,30,normal,1.0,15867,41390,59758,111350,81824,70718,63080,53512,497498,49750,547248,30600,0.5737,20.9
49.0,8,True,24,aging,1.05,38054,64077,113318,168414,200282,178154,106928,116934,986162,98616,1084778,46700,0.4417,27.2
35.7,15,True,30,normal,1.0,19699,46388,82196,121230,169137,119840,80445,76992,715927,71593,787520,37500,0.4886,24.6
